G_ID,GRAV_LON,GRAV_LAT,GRAV_ANOM,NEAR_DIST,NEAR_CONTR,CONTR_LON,CONTR_LAT,CONTR_X,CONTR_Y,CONTR_OTHO.H,CONTR_ELLIP.h,CONTR_GEOID_N
117,3.6,6.533333333,18.63,0.031237926,XST139,3.581607203,6.50475098,564305.5392,719038.3407,3.423,26.103,22.68
118,3.633333333,6.533333333,22.16,0.026711655,XST151,3.636856294,6.555816734,570407.2675,724691.0749,1.628,24.545,22.916
119,3.666666667,6.533333333,25.44,0.013905418,XST158,3.675274018,6.517133556,574660.4412,720420.1268,2.953,25.668,22.715
120,3.7,6.533333333,26.86,0.015682277,XST164,3.714152691,6.523244621,578958.2469,721101.6382,1.777,24.517,22.739
121,3.733333333,6.533333333,26.98,0.017227082,XST164,3.714152691,6.523244621,578958.2469,721101.6382,1.777,24.517,22.739
122,3.766666667,6.533333333,27.46,0.019955033,XST170,3.762616702,6.511461115,584318.8002,719806.7709,5.643,28.317,22.674
123,3.8,6.533333333,29.24,0.012471912,XST223,3.804802877,6.518489962,588982.1738,720591.0813,6.43,29.118,22.688
124,3.833333333,6.533333333,31.84,0.013778258,XST181,3.841617606,6.537407539,593049.3431,722689.1746,5.858,28.616,22.758
125,3.866666667,6.533333333,34.26,0.009175577,XST184,3.877915202,6.525358793,597065.0331,721363.9569,7.23,29.905,22.675
126,3.9,6.533333333,35.96,0.020604232,XST191,3.919734217,6.535924107,601686.9213,722540.2851,6.361,29.079,22.719
127,3.933333333,6.533333333,37.04,0.011852483,XST191,3.919734217,6.535924107,601686.9213,722540.2851,6.361,29.079,22.719
128,3.966666667,6.533333333,37.55,0.006092752,XST199,3.973173224,6.52479882,607598.1204,721321.3841,7.693,30.342,22.65
129,4,6.533333333,37.22,0.015667279,XST206,4.008922422,6.517121568,611552.7931,720480.3485,6.039,28.653,22.614
130,4.033333333,6.533333333,35.89,0.024700573,XST206,4.008922422,6.517121568,611552.7931,720480.3485,6.039,28.653,22.614
131,4.066666667,6.533333333,34.01,0.03101693,XST222,4.07958004,6.500499614,619369.9457,718658.7304,4.433,26.965,22.533
132,4.1,6.533333333,32.39,0.032440339,XST238,4.085213903,6.558874676,619979.0556,725114.2346,0.964,23.731,22.767
133,4.133333333,6.533333333,31.55,0.053287348,XST238,4.085213903,6.558874676,619979.0556,725114.2346,0.964,23.731,22.767
134,4.166666667,6.533333333,31.31,0.089568014,XST238,4.085213903,6.558874676,619979.0556,725114.2346,0.964,23.731,22.767
135,4.2,6.533333333,31.14,0.118362135,XST238,4.085213903,6.558874676,619979.0556,725114.2346,0.964,23.731,22.767
136,2.9,6.5,19.97,0.026682321,XST59,2.926581412,6.502318363,491882.5518,718733.0425,4.921,28.094,23.173
137,2.933333333,6.5,18.64,0.004130563,XST59,2.926581412,6.502318363,491882.5518,718733.0425,4.921,28.094,23.173
138,2.966666667,6.5,17.79,0.011252634,XST67,2.980912135,6.502747196,497889.5728,718779.8984,7.365,30.479,23.114
139,3,6.5,17.17,0.019284545,XST67,2.980912135,6.502747196,497889.5728,718779.8984,7.365,30.479,23.114
140,3.033333333,6.5,16.83,0.005996205,XST71,3.024295615,6.501847826,502686.2207,718680.5029,19.149,42.22,23.071
141,3.066666667,6.5,17.14,0.006275436,XST75,3.063821937,6.498898805,507056.4518,718354.8858,13.42,36.443,23.024
142,3.1,6.5,18.34,0.002934862,XST79,3.099912935,6.50293357,511046.7566,718801.552,14.347,37.364,23.018
143,3.133333333,6.5,20.22,0.015915406,XST86,3.145904245,6.500595922,516131.8155,718544.3729,4.258,27.218,22.96
144,3.166666667,6.5,22.14,0.011028633,XST87,3.173555949,6.510439635,519188.7446,719633.5091,2.657,25.637,22.98
145,3.2,6.5,23.32,0.028430156,XST87,3.173555949,6.510439635,519188.7446,719633.5091,2.657,25.637,22.98
146,3.233333333,6.5,23.18,0.022470692,XST88,3.228391017,6.522413014,525250.8646,720959.5199,2.991,25.977,22.986
147,3.266666667,6.5,21.7,0.014893968,XST94,3.267550265,6.514691123,529580.7843,720108.0278,11.338,34.244,22.906
148,3.3,6.5,19.72,0.020890602,XST106,3.315091612,6.514445085,534837.0965,720083.8616,4.518,27.387,22.868
149,3.333333333,6.5,18.79,0.020758625,XST106,3.315091612,6.514445085,534837.0965,720083.8616,4.518,27.387,22.868
150,3.366666667,6.5,20.14,0.007074024,XST360AZ,3.363038637,6.501257476,540139.318,718629.577,6.428,29.188,22.76
151,3.4,6.5,23.38,0.020018537,XST109,3.380250893,6.496726688,542042.7917,718130.1113,8.168,30.897,22.728
152,3.433333333,6.5,26.29,0.041193286,XST121,3.440859348,6.460263853,548747.642,714104.6734,1.971,24.46,22.488
153,3.466666667,6.5,26.35,0.042070353,XST237,3.476148407,6.458381354,552649.9787,713900.0807,3.372,25.836,22.464
154,3.5,6.5,23.02,0.039464329,XST140,3.500986754,6.539451991,555387.6692,722864.9452,1.3,24.155,22.855
155,3.533333333,6.5,18.46,0.043378066,XST126,3.528768937,6.456639407,558468.8332,713713.2504,2.264,24.699,22.434
156,3.566666667,6.5,15.77,0.012541889,XST139,3.581607203,6.50475098,564305.5392,719038.3407,3.423,26.103,22.68
157,3.6,6.5,16.41,0.018996494,XST139,3.581607203,6.50475098,564305.5392,719038.3407,3.423,26.103,22.68
158,3.633333333,6.5,19.13,0.00097337,XST147,3.629347409,6.500722201,569584.7009,718599.2754,1.326,23.98,22.654
159,3.666666667,6.5,21.46,0.017926908,XST158,3.675274018,6.517133556,574660.4412,720420.1268,2.953,25.668,22.715
160,3.7,6.5,22.15,0.022005151,XST31,3.721644104,6.503969814,579789.601,718971.931,7.044,29.681,22.637
161,3.733333333,6.5,22.02,0.009250969,XST31,3.721644104,6.503969814,579789.601,718971.931,7.044,29.681,22.637
162,3.766666667,6.5,22.68,0.013633424,XST170,3.762616702,6.511461115,584318.8002,719806.7709,5.643,28.317,22.674
163,3.8,6.5,24.77,0.019103569,XST223,3.804802877,6.518489962,588982.1738,720591.0813,6.43,29.118,22.688
